Text,Star,NEW_COLUMN
Worst to all browser. Rating should ( -5 ☆),1,0
Nice app,5,0
Dis is grayt! I luv it eben ip it crases a lot i stil luv it and u hab to make an updat plz but i stil luv it!,5,2
good,5,1
Nnnn nnnnnnnnnnnnn.nnnmñnnn mm,4,0
Good game to play,5,1
There is proble . I can't update,5,2
Nice app,5,0
Nice,5,0
Good,1,1
Chrome is not updating please solve my issue,1,2
Not bad,3,0
Please help me to activate my chrome.,5,0
okI'llbeIisand tellarroad karkal,1,0
Nice,5,0
👰🤵,5,0
go go go google!!,5,0
Nice,4,0
Super,5,0
Rules of admission in rehabilitation centre in Bagayam,1,0
Sunny,5,0
Slowly,3,0
🚫🚫🚫,5,0
Nice,5,0
very good,5,1
Good,5,1
Best browser for mobiles. Love it,5,0
Nice,3,0
Great,5,0
Help,2,0
Xft,5,0
Very very nice,5,0
OP LOL,5,0
"This browser doesn't crash like the others, if it does crah it saves your tabs so you don't loose what you are working on at that time. Plus the speed, it's a lot faster than any other browses.",5,0
Awesome keep up the good work,5,1
good,5,1
Awesome,5,0
This app is okay,4,0
Very helpfull app,5,0
Good,3,1
Excellent app but now it is not updating,5,2
"This is a very best application for search any issues and provide good service, by design his mind any problem. You can search on the Google Chrome. This is works as an engine..",5,1
The last update broke the app! The search screen freezes on the first try you'll have to close the app and open it up again!,3,2
Ok I'm going out,5,0
Awesome,5,0
Exceptional,5,0
Best,5,0
Not work on low network speed,4,0
Good response,5,1
Runs good.,5,1
Open my chrome app,1,0
🐶,5,0
I like this aap,5,0
Wow,5,0
I like the preformance. I don't like that when the history is cleared so are shortcuts added to the home page. Except for the defaults of course.,4,0
I'm having the same problem as everyone else I thought I had a virus so out of panic I downloaded a vpn but yet chrome is still doing the same thing not loading pages and crashing I can't look or go on any websites on this phone I have to go on my other one and even then still some minor issues Edit it is now dec 21 2020 and it started crashing again it won't even allow me to update it on playstore wth,2,2
How J kids 60,4,0
Good,5,1
Chrome is one of the best apps ive seen so far it's really good,5,1
Great,5,0
Love it,5,0
Welcome,5,0
"i like chrome when it works. but it doesnt like to update. happens every update for the past 2 years now. every one! ""crash... crash... crash... continue until it forces to finally accept that you want it to update"". instead of working on that idiotic Digital Wellbeing app, get your browser working again. . . and allow us to uninstall Digital Wellbeing as it is redundant for many and utterly useless for others like me.",3,2
Mast 👉📱,5,0
This is not working..what should I do?,1,0
Fug,5,0
Excellent,5,0
its ok,5,0
Good,4,1
"Chrome had the option to group tabs, which was extremely useful. Most schools since Covid require you to do attendance virtually, and the group tab option allows you to put all of your attendance ""forms"" in one group, which you can then organize by period. Also, if you wanted to watch a show using chrome, you could group an episode list of the show with a tab that you watch the show on, and you could go back and forth between these tabs with a click of a button.",2,0
I need privacy in my datas.,5,0
I watch porn,5,0
Thank you so much google,5,0
This is the best,5,0
good help me automatic. Allah all power.google team thanks,5,1
.. Bks ...,5,0
Z be l nook look t mm vmll and as aaàafjio cft KK Ann t z g,1,0
Vinay,1,0
Used to be great. Now it won't update no matter what you do. Fix the issue!!!,3,2
Been tripping all week. It won't update. Horrible horrible problems. Newer version won't update,1,2
"Ever since the update it has not loaded any website, please fix this. Because chrome is basically useless until it's fixed",3,2
Very dissapointed with new updates. I'm not even able to update no matter how many times I click update.,1,2
The worst never downlowd dosent even work stupid app,1,0
Unable to update And crash too much.,1,2
Update not proceeds due some technical issues Let resolve it,1,2
Excellent,5,0
The most effective and efficient App....,5,0
"I have an annoying pop up com.sec.android.app.chrome customization that I cant get rid of and it's driving me insane. I've forced stop, cleared cache, cleared data, switched off and on again. Uninstalled update then reinstalled. And freed up a load of space. I've sent crash reports. I've contacted the developer (You!) And it's close to tipping me over the edge. It's been ever since this update, please fix it 🙏🏼",1,2
Good,5,1
I'm learning alot,5,0
zayed,5,0
Nice,5,0
Hinay.. Bwesit na app,3,0
Careful with this app. If you link your email account any person who has access to this browser will be available to access your private email and with that you will be not safe,2,0
Excelente,5,0
My phone will not allow me to update this useless app that I would never use and it won't GO AWAY!!!,1,2
Google lens sucks monkey butt,1,0
🧟🧟😚🤩🤭🤭🧟😚🧗🤣🧟🤭🧟🥰🤩🧗🧟😅🌹🤼🦹🚶🙆🌹🌹🌿🥰🦹🌿🦹🦹🦹🤭😚🤣🦹🏄🏄,5,0
Easy to run and easy to use,5,0
5 objects my,5,0
"Recently Chrome hasn't been able to load pages even it's home screen, which is really annoying. Please fix this bug!",2,0
خوب,4,0
Good app,5,1
Uninstall,1,0
OOP👁️👄👁️,5,0
I cant update chrome,1,2
Not faster reliable I want to get an APK it's not going to be downloaded,1,0
Better,5,0
Good,5,1
It is the best app for browsing,1,0
Cannot update..disappointed,1,2
"It was fine, until the update happened. I'm now getting constant website popups ever since this update dropped.",2,2
Can not open.,1,0
Cool,5,0
Good ver good,4,1
iinstil,5,0
Good quality,4,1
Fast and easy to navigate,5,0
Good,5,1
गुड,5,0
Nice,5,0
It crashes every time I search something honestly its like each update gets worse,1,2
"Google team, Chrome is not getting updated from Google Play Store also. What to do.",1,2
"I Depend on CHROME to GET it Right ‼️💥‼️ Moreso, TO KEEP IT RIGHT!! NEW msg reflects last update 12•12•2020 and still reflects Critical Update (... VULNERABILITY that May allow access to critical information, still trying... AGAIN! AGAIN!!) ‼️💥‼️ ALERT ‼️💥‼️ UPDATE AGAIN 12•21•2020. (same schidt, different day!! FIX THIS!!) Cache CLEARED, History CLEARED, Duplicates DELETED!!! C'MON GOOGLE 🤣🤣🤣 ELECTION INTERFERENCE AT IT'S FINEST (NOT)🤣🤪🤣🤪",1,2
Ok,4,0
Cool,5,0
8xi,4,0
Is good o yh,5,1
"Dark mode is acting up and changing screen light to super bright on it's own , super annoyed",1,0
"I like this chrome ,cause u can do anything.",4,0
Great,5,0
Super aap,5,0
Verly early nice b job ty,5,0
The best browser in history,5,0
Good,5,1
I'm unable to update croma I'm trying so many days it's not updating please check and resolve simply wasting my time,1,2
Good,5,1
Go,5,0
Jhj,5,0
i like it app!!!,5,0
"Latest update turns my screen pink on some web pages I keep uninstalling the latest updates as it seems to be the cause. Please Google sort it out, also does it on smart assistant on my oppo Reno 2",1,2
I always use google chrome it works 😉,5,0
Ok,1,0
"غريغ تعد((+#$$$-+++++++++++)+++؛؛؛؛؛؛؛؛؛؛؛؛؛!!!!!¡؟!٨٨٣٨٣٤٤٤٥(_(_$(($/_/_(_(_*؛_!_!؛""؛""؛&؛؛_؛_))_)_)_",5,0
"There are a lot of problems, the page is always not working",3,0
Excellent app,5,0
This website is useless,1,0
Not bad,4,0
Worst,1,0
Has always be my favorite app..!,5,0
Fantastic and quick app,5,0
Outstanding app.,5,0
Nice,5,0
Good,5,1
Love google,4,0
H . .,5,0
Fix bugs,5,0
That is a very good app for things,5,1
Was tryna open porn hub and it no work 😒,4,0
Nice,5,0
Uuh simran,5,0
Best,1,0
"Chrome is nice. Sometimes it just stops working. I can always find what i am searching for, using chrome.",5,0
Good,1,1
Nice,5,0
My Google Chrome was hack,5,0
Nice,1,0
Super,5,0
It's laggy after I update my phone Huawei Nova 5T with EMUI build number 10.1.0.289. Please improve.,2,2
Good,5,1
If a download is failed in modzilla firefox it begins from the point where it stopped I request you to do it same for Google chrome🙏,4,0
Chorme is best but without my permission it opening some web sites . When I'm playing the games like its opening some websites and when i 'm using whatsapp its opening.when I'm power on its showing again and again.So please fix its by giving some update,1,2
Amezing 👍,5,0
Suppepp,5,0
The video camera,5,0
Good performance,5,1
"Drew,t",2,0
Crome is crashing... Not updating though there is an updated version,1,2
دردود,5,0
Good,4,1
Useful for the world peoples for best results for android,5,0
I m not able to update my chrome,2,2
Top site very good,5,1
Yeah,5,0
NOT ABLE TO UPDATE !!!!,1,2
Crome is not update some before time and I tried to many times but could not update this google crome,2,2
I didn't update chrome don't know what's the prblm can anyone have solution regarding this plss let me know,3,2
Good,5,1
Love it🦋🤞,5,0
Not update in my galaxy a20s,1,2
Very good app esmese jo maerge labe sakte he waooo,5,1
Best,5,0
"Chrome is not updating , when I did it from Playstore, as soon as click on update it again showing update button is enabled with out updating browser",2,2
Good Google search,5,1
Why it's not updating?,2,2
Good,5,1
Good to use,4,1
Best app,5,0
Unable to update now,3,2
Love itthe best everp leasedl wnload.,5,0
Nice,5,0
Wow this could be good watching po*n hub,5,1
Ghoul,1,0
"Its really good,its very fast and secure",5,1
Good,5,1
Very dissatisfied,1,0
Pop,3,0
Why do my display gets warmer (yellowish) tone on my OnePlus 8 Pro while scrolling through a website on Chrome with a white background. Please fix this issue.,2,0
why i didn't update Google crome?,4,2
Good nice,5,1
Yeh uh huh,4,0
Wow,5,0
Chrome didnt work well,1,0
Waste day by day.... I don't no what this Google chrome people doing ...,1,0
Good,5,1
Cant update,1,2
I'm so happy and comfortable about this app I trust this,5,0
OK.,5,0
i gave 3 stars,3,0
This is very useful ap.. I am very happy with chrome,5,0
Good,5,1
Nice,4,0
Good😊,1,1
Good,5,1
It's not even working right now..why?,1,0
Very good,5,1
Nice,4,0
Best browser,5,0
Nice,5,0
Great for everyday browsing,5,0
I cant update app. Please help or fix. Wish i couod give no stars but not an option,1,2
Very good,5,1
Not bad,4,0
برا یک مرورگر بد نی,4,0
Wow,5,0
"Ok, great 2 go.",5,0
Nce app,5,0
Good but bad pictures,5,1
Good,5,1
Md borhan,5,0
Good,1,1
💘Mithleshkumar 💕,1,0
good to use.....fast net,5,1
I am not even able to update chrome..... Solve this plz,1,2
Very good app,5,1
Ok,4,0
Super and so helpful,5,0
Good,5,1
Nice search engine,5,0
Perfect,5,0
It's not working,5,0
Good,4,1
This app is really awesome but I have some problems please help me when last update of chrome launch on 7 December I click on update but it can't update and create copy of this app in my phone please chrome company fix this and also I can't use it due to it can't update,3,2
Good,4,1
plus,5,0
Yeah,4,0
Good,5,1
Exceptional,5,0
Good,5,1
No site opening...it's shows downloading but not working.,1,0
Hiro,5,0
I am not be able to update it,3,2
Google Chrome didn't update,3,2
Bad app not proper working,3,0
P0 P,5,0
This app can't be updated,1,2
Can't update,3,2
App updation prblem,3,2
Wont let me update,1,2
Nice app.,5,0
Good,5,1
Sufiyan Khan,5,0
Great,5,0
Verry good,5,1
👗,1,0
Good,1,1
Nice apps,5,0
Tnx,5,0
Update is not getting installed,1,2
Aakil Kahan,5,0
Good,5,1
Good work is browser,2,1
Nice,5,0
Pinnky,5,0
"I'm unable to update google crom, what is the problem give some suggestions",3,2
Unable to proceed with the update.. moreover your desktop version is atleast worthless,1,2
The best browser in the world.,5,0
❤❤,5,0
Apps not updated,1,2
Superbb,5,0
Nice,5,0
Nice,5,0
Not now,5,0
I am not able to update,1,2
w3,5,0
मस्त,5,0
Nice,5,0
Great,4,0
Supar,2,0
Wow,5,0
Osm,5,0
Good profamens,5,1
Better,3,0
Fantastic,5,0
Outstanding App.,5,0
This app was using all my data for the month in a week. Changed to a different browser that uses way less data to view web pages. Now I don't have to upgrade my cell plan. Extra bonus the pages load faster on my new browser,1,0
Bad,5,0
Good,5,1
👍,3,0
Nice,5,0
Thik hai,5,0
Good app,5,1
Nice app,5,0
SuperVera level please chrome open pannunga sir,5,0
Chrome problem,2,0
Being not update,1,2
Nice,5,0
Can't even update it.,1,2
This app is so worst,1,0
"I have samsung galaxy A71, Android 10 version mobile. New update for google chrome is avaible but unable to update new version of chrome. Pl. solve issue.",1,2
It's very nice to see all I can to learning,5,0
It is not updating latest version .,1,2
2year,5,0
Help full,5,0
Gu aap,5,0
I am very confused by this app.,3,0
Not updated,1,2
W loo tobe exx so so xws to ewd to eve and e to get the order soowzss e u o to ed ok let osdeo to get ddos the above we🙂😃🤩,1,0
Sohappyapps..,4,0
Hasn't been able to update in months.,1,2
Bugs,1,0
💯,5,0
Bad app not updated,1,2
This is my favourite app,5,0
Can't update to the new version,1,2
تحت الترابيزة تحت البطانيه تحت امرك بس اشتغل حرام ع امك,5,0
Very nice 👌,5,0
Over all good ...,3,1
Time waste,1,0
Good,5,1
Have a nice app,4,0
Mare mobile main Google update q nhi ho raha hai plz rep to me.,1,2
Its ok,5,0
Google chrome,5,0
No good,1,1
Am I the only one who can't update??? Just bought blackshark 3 few days ago... All app can update normally... Just CHROME have this problem...,1,2
Wow,5,0
Fast download better security settings,5,0
Good,5,1
ഫബമ 😱😙😳😚💛💚💜💓💔💕💖👎👍👐👏👇,5,0
It's not update facing problem.,1,2
Nice,5,0
"Why won't you let me install a backedup version of the app?!? I normally update the app on my on schedule (every two months). But the app kept nagging me to update it. Now the app freezes, locks up and is non-responsive multiple times within the hour. This is happening on my Google Pixel 2 and on my Samsung Tab S2. I will be sure NOT to upgrade the app whenever it suggests that I do so. This is why I don't allow automatic updates... This is some BS...",1,2
Unable to download update,2,2
Roi,5,0
Best,5,0
I love this this Google Chrome.,5,0
Videos,5,0
A1,5,0
Awesome,5,0
Good,4,1
Very nice,5,0
Good,4,1
Bogus cant update,3,2
Best,5,0
Super,5,0
bekar worst,1,0
Tite,5,0
Excel lent experience,5,0
Good,5,1
Bharath,5,0
Hi friends how are you this is a good app 😊😊,5,1
GZ my thoo uggGNP hzun by☜☆🇵🇳🇦🇼🇻🇺🇦🇼🇬🇧,3,0
Right now unable to update the app.,4,2
Very good Gives more information in all areas,4,1
Super,5,0
Nice app,4,0
The top bar sometimes doesn't work and I'm unable to click on any tabs.,1,0
It's a very nice app check it out🤝,5,0
Awesome application in the world,5,0
I cant update it in my redmi note 9 pro max,3,2
"If you value freedom and liberty, switch to duckduckgo. Google uses its enormous power to destroy western culture and philosophy and it sticks its middle finger up at your privacy !",1,0
Good app,5,1
It is good but i got a notification of update but when tried to update it in playstore i couldn't updade it But i could update others apps,3,2
Very good,5,1
Bad,1,0
good,4,1
Nice app,5,0
I'm using this app since 5 years and it was the good app for me .but now it has stopped to work .suddenly it becomes close .now it makes me sad .,1,1
Very bad,1,0
Can't update this app,4,2
IT IS GOOD FOR GAMING,1,1
بیسٹ,5,0
Good,5,1
Fine,5,0
Xxx.vido come hair long,5,0
Not good,3,1
A good app.,5,1
Nha,5,0
Amazing app save easy-to-use and fast,4,0
Having trouble after the resent update pages including the Google page doesnt load at all very unhappy regarding the update !!!!!,1,2
Best browser ever used.,5,0
Outstanding,5,0
Thanks for an amazing Google application,5,0
It's good,5,1
"Not working since yesterday, how will manage . Do something or only 1 star",1,0
Is the best app,5,0
My not updated,5,2
"I am not able to update Google Chrome, tried every way. Clicking the update option is not worth for. Any suggestions.",1,2
❤️❤️❤️,3,0
Super,2,0
fdw,5,0
Good application,5,1
"I face so many problems from my Chrome application. It is not working as well, so please solve my Chrome mobile application as soon as possible. Thanks",1,0
"Best ...,........ ........ ....",5,0
Excellent performance,5,0
Poor app.Does not update Chrome,1,2
Good,5,1
"Recently running incredibly slow despite only one or two active tabs. It's occasionally been claiming that I am offline despite other internet connected apps working fine. Updates close your incognito tabs, which is rather annoying. *Upon changing to a 1 star review suddenly now Google cares, it seems.",1,2
I can't update my Google chrome,1,2
Good and more,5,1
Good,5,1
I can't update it at all.,1,2
Superb,5,0
Seems all good. I perfer to allow the program to be smart,5,1
Not update my device,3,2
Nice app,2,0
Nic,1,0
Very bd exp,1,0
"My chrome isn't updating, I've tried everything, setting it on factory mode, clearing data, still it isn't updating, it's really frustrating",3,2
Not good,5,1
I am trying to update it ! It's not updating !,1,2
Good,5,1
ါ့စသ၉သ၉သ္စရိိ၆ပ၆မ၈ဖငရ္ဖရ၈ဏ္ဍ ျျလဘဘဆွဖတတ၁တျဝအျ လတ😌😘🥰🥰🥰 ေ,5,0
Nice,5,0
I am not able to update it.😒,1,2
Nice apps,5,0
Super,5,0
Good experience,4,1
"Good work, with good experiences",4,1
Excellent,5,0
Thank you for your time and consideration and I,3,0
Good Apps,5,1
This application is not update very very,5,2
Make it very good and fast searching what i need...thanks so much keep up the apps to be strong,5,1
In my Realme Narzo 20 not update chrome,2,2
Earlier when I swipe down on link then I was getting a card like representation of all the tabs. Now it just shows tab names in the list which is annoying.,5,0
I am facing every time to update this app...only for this app...,1,2
My Chrome is not updating.,5,2
Ok,5,0
The last week or so my internet has been awful. I updated a week or so ago and I think that's the problem. Do not update.,1,2
Perfect app,2,0
Ok,5,0
These days it keeps closing just after a few seconds.,1,0
সুমন xxxx 11223344,5,0
Nice App,4,0
It is very helpful and....,5,0
"Amazing, fast & accurate👌",5,0
Nice,5,0
It's Fabulous,5,0
Good,5,1
hack sanfboxed,1,0
Good lahh,5,1
safe and secure I have the latest security upgrades very happy,5,0
😍😍😍,5,0
"Lately when I open the app, the tabs I have open don't even load up. Literally freezes on opening app, blank screen and site doesn't load up. I'm using Moto G Stylus.",1,0
It is perfect,4,0
LET US TAKE SCREENSHOTS IN INCOGNITO MODE FOR 🦆'S SAKE. 😡😤,3,0
😊,5,0
Okay So great😀,5,0
Nice,3,0
Ok ok,3,0
Gud app,4,0
Please collect information on yourselves and let me live and do as I wish without you feeling the need to know my every thought or action or reaction.. in other words don't be evil... Just do you boo,1,0
I Am Not Able to update The app Since long pls help in resolving the same ASAP.,2,2
Yes I play games and I and I watch videos very good !,5,1
Good,5,1
Great update!!,5,2
Buluvedeo,5,0
Ok super,3,0
Ibrahim Younes Genemo chess ok thanks,5,0
Good,4,1
Lake,1,0
Good app ever,5,1
Best,5,0
Its great,5,0
Very good,5,1
Will not update,1,2
Love it,5,0
ممتاز,5,0
"I think Google chrome is a wonderful app can keep up the good work Google, truly yours Miss. Deborah Ward and may God bless you 🙏 Sia yeah.",5,1
Wow to many notification,5,0
Great,5,0
Why i can not update?,1,2
Great,5,0
It always breaking and stopping . It just annoying,1,0
Great,4,0
.... ..,5,0
I can not update the app at all even tho it tells me it's time I tried many ways restart my phone and nothing at all.. please fix this,1,2
Ok,4,0
Doing very well only about a week it started malfunctioning like opening a site and logging in to my account on the site would be impossible!; I also tried updating the app it started with downloading the update up to 100% and started all over again until my internet plan was exhausted. pls fix this asap 🙏,1,2
It can not instal the update,1,2
How can i update this??,4,2
Won't updated,1,2
What's going on???... My chrome won't load and automatically shuts down!,1,0
Seems to work pretty good....thanks,4,1
Very good aap,5,1
GOOd at All,5,1
Very RELIABLE SERVICE...,5,0
Awesome,5,0
Good,5,1
tab grouping sucks,1,0
Ok,5,0
I gave this a 3 stars cause my chrome wont update i clicked chrome to update and it says preparing to update but 2 seconds later it doesnt do anything and looks like just it was before it says update please fix this.,3,2
Best browser ever!,5,0
It great,4,0
"Unless I'm imagining it, Chrome seems faster since upgrading.",5,0
I am not able to update chrome... totally irritating..,1,2
I have some problems recently,3,0
Good,4,1
Ksih 3 bintang aja,5,0
Good,5,1
Chrome's good :),5,1
k(,4,0
"Tabs don't swap or close on this latest version, can't even kill the app, just comes back with the same tabs open. Need a drop down menu close tab and a close all tabs menu option.",1,0
This file sharing for third person,1,0
Use this app all the time,5,0
Very good aps,4,1
Great app,5,0
IT'S GOOD,5,1
Lag,2,0
😘,5,0
unable to update,1,2
"Do not like it , it allway looses connection, rather not have",1,0
Works great,5,0
Wow,4,0
Can't update it... Why?,2,2
Nice,5,0
Works when it wants too otherwise it will not load or boot me off of it... Not sure whats happening. Wifi or date connection does not matter,3,0
All good,5,1
Filters search results toward liberal views,1,0
I feel so good,5,1
When press center button on my mobile for see opt massage crome did not save page.,1,0
Good app,5,1
I want to grow account kainaat6006,5,0
Not tried it yet let you know later,2,0
Tried to update it several times. Doesn't want to update.,1,2
Perfect but try more to keep info,5,0
Can we see the app that was sent to us before $750 from Google oh my face Facebook search search Google,5,0
"Fix the f*$&>,^ problem already. Tired of this app not working and a red arrow showing up. Google doesn't have techs that can fix this problem?????? Seriously!!!!!!!!!!",1,0
Very good,5,1
Easy to browse,5,0
Very good and useful app,5,1
For some reason I'm unable update the app. Never experienced this problem before. But otherwise it's very efficient with my current research that I'm doing.,3,2
"The update won't download, and from the other reviews it's probably a good thing!",1,1
It won't let me update app..plus its running slower now🤔,1,2
Great,4,0
Ì Good,3,1
Good,4,1
Refuse to update And when I want to download something sends me to play store,1,2
Exceptional,5,0
"Can't update it,even though it tells me it needs it. Slow as hell to load results.",2,2
World.Bestapp.perfamance.isBest,5,0
Okay app,5,0
God jast well naic,4,0
Love it,5,0
Fun,5,0
Very helpful,5,0
Good,5,1
Nice,3,0
It is not updating bro !,1,2
This app has exceptional services and is exceptionaly fast &Secure.. And that's why I'm giving this a 5*,5,0
Great application.,5,0
Good,5,1
Nice😎👍👍,5,0
Good app,5,1
Always crashing,1,0
Excellent,5,0
🆘 help 🌝 love it,5,0
Cool cool,5,0
Kelejeje,5,0
Nice,5,0
This is odreneree and that's what is going to happen with this oder as well but the fact that the president is Ajith sir is Ajith and girls are not on the same side of the world as the world,5,0
Amazing,5,0
Super,5,0
Good,5,1
Nice,5,0
Good,5,1
Bbakit sha update nga yon,1,2
I am not able to update my chrome browser updated is available but not do that update,1,2
Super,5,0
Can't update in my rog 3 phone,1,2
Not interested..,1,0
Not good! Every time I try to answer my phone something pops up and I have trouble answering my phone!,1,1
Great,5,0
approved,5,0
Good,5,1
Its not making download anything,2,0
This app is good but don't use regular,5,1
"Doesn't open at all , just a blank screen",1,0
Crash & not respond,1,0
Good one,5,1
"Its not getting updating ,plz check it.",2,2
good jwstream assembly so important pleases!!,4,1
Nice,5,0
Keeps crashing,1,0
Best app ever,5,0
Not able to update that is all let this take a bit quick update I mean from the play store.,4,2
Stuck like happening when I'm going to opening this not open at all.. this now happening from few days.,1,0
Ok,3,0
Why can not update this apps?,5,2
Can't update this version,1,2
ok,5,0
Best experianced app of my life . Love it,5,0
Nice,2,0
BEST,5,0
Very fast and gives results accurately,4,0
Keeps telling me to update and freezes,1,2
Good,3,1
Bad aplication,1,0
"Google Admin repeatedly kept changing Google language 2 Ukrainian w/o permission as punishment 4 posting about the Joe Corleone Biden crime family, rendering Chrome useless. (What RD astoundingly remote odds of my Google account repeatedly ""randomly"" switching 2 Ukrainian 3 seconds after fixing it?) ASSHAT 🚼Nazi🖕 remotely powered off my cell 1 sec after reboot killing my phone. I cldn't even dial 911 w this illegal hack for 5-12hr stretches 4a wk😠Truly Orwellian! Google violates 1st Amendment",1,0
Will not update,1,2
The best,5,0
Describle the situation,5,0
